ID,MonthlyIncome
1,5666.538601
2,2725.426785
3,12186.42407
4,1948.111844
5,2363.199799
6,6107.47797
7,5382.849826
8,2170.083395
9,2533.237669
10,12669.77672
11,9787.770833
12,2430.631609
13,5839.147275
14,5652.625653
15,6043.748617
16,5979.000676
17,6121.423032
18,6021.812378
19,5299.705344
20,2610.638532
21,5695.094085
22,8701.753252
23,8761.506119
24,5612.874774
25,9592.489688
26,9080.307062
27,8905.307823
28,15848.01785
29,6154.265835
30,2778.041701
31,2619.375373
32,5855.958281
33,6448.683798
34,2603.538799
35,16158.46391
36,5481.194441
37,9336.101313
38,6099.711632
39,2295.902456
40,2566.101752
41,19025.68327
42,2509.72
43,2532.489384
44,13215.56024
45,6213.720471
46,5255.653695
47,2584.52962
48,5759.323975
49,2453.755638
50,2793.754173
51,2567.777459
52,2268.297917
53,5501.092424
54,5213.740348
55,17005.27546
56,2505.912447
57,5829.480245
58,13142.65363
59,1888.299427
60,2335.29688
61,5707.015813
62,12948.91549
63,8632.609725
64,2294.425731
65,2278.685806
66,2235.314946
67,9135.873386
68,9119.338687
69,6076.255747
70,2395.150086
71,2963.7735
72,8912.202292
73,9691.765874
74,5893.80772
75,2346.310723
76,5708.551977
77,2526.043768
78,2564.437159
79,2667.924759
80,5769.675754
81,2540.999516
82,5997.957752
83,5964.653089
84,2258.975789
85,4999.366069
86,8388.460413
87,10272.15627
88,2324.348727
89,9332.386791
90,20118.77253
91,2647.361003
92,5655.916108
93,6011.598526
94,5790.935158
95,2664.761659
96,19583.91873
97,2563.408481
98,9116.548903
99,16745.07489
100,2401.066296
101,5701.527134
102,6176.851024
103,2141.198021
104,2507.88887
105,6084.207617
106,2731.414009
107,6512.624922
108,2693.661675
109,9103.421893
110,19318.99311
111,2662.13561
112,9035.396008
113,2516.623092
114,2578.190201
115,5922.024364
116,2654.996117
117,2318.209315
118,5764.343451
119,9178.435663
120,2563.861052
121,5810.96116
122,2603.743558
123,5728.63216
124,5597.398268
125,5379.215126
126,5791.089914
127,2411.292454
128,16771.68688
129,8718.028105
130,2212.361377
131,6028.354354
132,5246.632252
133,5605.50637
134,6663.763556
135,2994.950931
136,6027.435846
137,2447.756279
138,6083.831204
139,19406.28962
140,5781.453547
141,9234.660282
142,5836.46981
143,6283.359678
144,5160.017966
145,5793.853844
146,2555.593474
147,2651.401731
148,8606.080331
149,9023.561731
150,2098.671452
151,5870.016002
152,5435.904307
153,5626.172118
154,9575.842129
155,16244.16346
156,18739.05528
157,5699.984311
158,5767.865198
159,5929.839564
160,9231.768003
161,5783.586744
162,2722.067422
163,12705.23149
164,2571.617557
165,4926.205096
166,2614.719889
167,5823.871323
168,8928.002733
169,12948.16054
170,6163.387559
171,2271.554024
172,2676.061822
173,8798.384323
174,6282.947269
175,2227.675674
176,2092.101394
177,6062.489343
178,13013.29577
179,2860.892605
180,6005.049351
181,9911.560802
182,2279.044558
183,5907.467516
184,2790.788522
185,2536.421746
186,2507.459795
187,5987.52632
188,15751.16138
189,6096.281462
190,2700.515598
191,5743.329711
192,6091.627094
193,6081.340424
194,2485.044584
195,5718.358141
196,2453.926116
197,3364.651817
198,19825.45431
199,5511.235715
200,2549.441262
201,2646.209009
202,6173.957555
203,2445.82959
204,5933.532013
205,5777.727605
206,16448.73886
207,19363.10598
208,5421.823862
209,5753.869317
210,5962.040728
211,2817.414301
212,2624.361462
213,2271.036366
214,6265.836264
215,8616.880305
216,8825.44853
217,5781.738661
218,2695.023396
219,2632.190738
220,5835.470958
221,5806.928542
222,5870.293168
223,12526.85675
224,5872.605762
225,5430.027696
226,6163.900768
227,3269.830242
228,2587.947577
229,2388.145859
230,6003.65747
231,19269.62001
232,5966.259515
233,5895.145726
234,9993.04533
235,2788.480128
236,2660.526384
237,2869.792355
238,5635.100846
239,5506.303369
240,5687.403581
241,5722.067788
242,12674.68439
243,13487.19265
244,6250.69787
245,9648.54777
246,2771.403267
247,6544.985731
248,5150.20829
249,9429.698179
250,2578.831418
251,9413.289721
252,16293.35126
253,5579.840865
254,16245.90128
255,2540.164927
256,2296.520409
257,2308.547491
258,5350.169248
259,15777.71865
260,2460.519628
261,12681.55151
262,16787.0584
263,6047.795942
264,2186.576296
265,2656.071529
266,2475.579268
267,2978.064423
268,5661.602809
269,8955.71983
270,15783.61346
271,6048.896328
272,6048.218823
273,9604.105456
274,5647.578158
275,5607.072847
276,5948.713711
277,5248.518909
278,2446.58905
279,2597.292275
280,6221.528376
281,2390.259462
282,5813.387075
283,5911.567865
284,2341.18155
285,6320.497249
286,12225.39107
287,2632.148677
288,5964.894183
289,2661.119006
290,6125.064265
291,2696.075632
292,9019.755962
293,2416.863683
294,9099.292745
295,2580.170199
296,2097.420637
297,9342.164759
298,5830.025921
299,2643.149448
300,2696.055357
